,champ0,champ1,champ2,champ3,champ4,win
659,203,18,80,201,5,True
660,238,3,110,24,122,True
661,75,516,412,39,222,False
662,12,236,17,120,516,False
663,84,113,91,412,18,True
664,21,157,104,53,58,True
665,63,122,32,51,42,False
666,63,421,51,75,16,False
667,32,222,161,432,85,True
668,119,92,4,64,37,False
669,38,201,222,121,41,True
670,18,37,134,106,24,True
671,59,121,40,4,96,False
672,79,34,40,96,98,True
673,18,86,267,112,121,False
674,121,31,96,58,40,True
675,120,13,67,37,41,False
676,5,41,67,143,55,True
677,63,267,114,24,429,False
678,12,141,245,21,91,True
679,115,29,53,57,31,False
680,15,75,56,238,63,True
681,498,101,104,25,59,False
682,35,37,51,141,134,True
683,11,266,412,101,498,False
684,11,25,7,114,236,True
685,81,134,5,201,110,False
686,412,23,222,110,10,False
687,86,11,37,21,245,True
688,64,122,498,45,412,False
689,40,222,90,24,150,True
690,141,222,45,122,16,False
691,84,64,29,126,497,True
692,121,22,238,41,57,False
693,103,223,18,40,106,True
694,29,154,61,41,16,True
695,412,157,114,19,222,False
696,134,98,11,45,67,False
697,61,75,107,40,18,True
698,61,86,28,5,18,True
699,141,497,498,27,45,False
700,157,51,117,67,5,False
701,17,103,77,16,202,True
702,59,432,39,114,67,False
703,164,202,35,516,9,True
704,412,498,154,238,17,False
705,67,245,64,106,89,True
706,104,516,90,15,27,True
707,54,59,51,61,412,False
708,133,33,45,37,18,True
709,143,236,412,154,157,False
710,59,16,240,134,222,False
711,21,5,105,75,117,True
712,17,122,245,429,497,True
713,111,202,516,1,113,False
714,6,238,202,254,37,True
715,91,68,412,64,15,False
716,84,37,79,103,81,False
717,67,57,36,40,105,True
718,131,157,222,122,40,True
719,21,245,412,64,161,False
720,141,236,115,59,117,True
721,19,157,84,202,497,False
722,516,48,102,119,101,False
723,37,27,51,80,5,True
724,121,40,3,67,1,False
725,29,37,150,103,64,True
726,236,143,92,42,254,False
727,102,15,78,1,122,True
728,64,22,89,13,86,False
729,267,36,126,18,102,True
730,17,34,102,429,412,True
731,267,268,67,24,86,False
732,57,12,21,55,122,True
733,31,3,16,222,141,False
734,105,102,67,238,25,False
735,110,60,84,53,58,True
736,154,23,236,201,103,False
737,157,11,111,54,18,True
738,59,102,67,105,39,False
739,18,53,85,157,57,True
740,51,157,25,64,92,False
741,161,89,429,24,104,True
742,25,98,141,429,238,True
743,67,516,122,60,134,False
744,131,236,40,75,4,True
745,98,161,43,67,59,False
746,412,75,119,106,25,True
747,497,157,40,18,1,False
748,157,41,35,143,29,True
749,222,37,84,14,11,False
750,61,51,44,33,57,True
751,110,78,201,11,69,False
752,245,41,18,19,516,False
753,25,99,150,67,11,True
754,164,131,53,157,222,True
755,18,432,115,58,4,False
756,1,77,67,114,4,True
757,157,63,202,60,105,False
758,99,236,432,64,141,False
759,21,78,115,37,121,True
760,107,202,24,201,55,True
761,99,75,412,21,254,False
762,141,236,16,90,245,True
763,40,61,62,67,3,False
764,32,55,89,24,222,True
765,41,15,106,48,99,False
766,117,4,75,141,29,False
767,498,24,421,99,12,True
768,164,59,141,12,18,True
769,103,432,23,64,222,False
770,60,240,31,22,432,False
771,18,114,64,163,412,True
772,59,23,111,222,245,True
773,96,80,117,26,516,False
774,81,10,85,19,157,False
775,134,141,412,498,17,True
776,150,516,77,25,29,True
777,51,157,427,99,31,False
778,64,202,42,90,92,False
779,75,105,117,498,141,True
780,141,58,161,119,44,True
781,8,67,14,11,38,False
782,112,16,67,11,58,True
783,92,40,55,29,36,False
784,412,236,75,102,90,True
785,25,110,420,117,106,False
786,150,163,53,29,121,False
787,105,60,67,16,157,True
788,77,126,236,7,37,False
789,75,21,44,92,238,True
790,122,22,115,79,117,False
791,103,16,24,113,18,True
792,50,18,267,3,36,False
793,19,96,23,131,117,True
794,96,90,64,48,201,False
795,99,516,11,136,21,True
796,86,26,141,84,29,True
797,22,238,412,105,59,False
798,516,2,42,201,67,False
799,57,154,40,18,1,True
800,37,113,103,24,236,False
801,254,202,245,58,432,True
802,85,43,61,236,141,False
803,19,222,99,267,68,True
804,14,43,51,42,516,False
805,21,8,238,63,59,True
806,63,24,11,55,81,True
807,157,143,19,31,29,False
808,103,236,57,240,44,True
809,8,121,40,96,1,False
810,53,121,157,122,498,True
811,84,36,236,40,75,False
812,48,497,34,498,79,True
813,20,51,126,85,38,False
814,429,141,13,117,6,False
815,40,34,92,19,236,True
816,202,86,63,102,40,True
817,432,45,64,14,429,False
818,53,90,36,236,27,True
819,75,96,107,412,41,False
820,117,34,266,222,57,False
821,86,1,498,113,267,True
822,21,76,201,157,245,False
823,11,54,63,90,22,True
824,119,150,12,61,5,True
825,25,79,163,516,18,False
826,141,103,498,201,39,False
827,134,62,67,157,111,True
828,238,21,24,92,37,True
829,53,29,1,23,19,False
830,64,150,25,67,99,False
831,119,75,106,91,127,True
832,69,240,11,18,12,True
833,15,154,53,34,48,False
834,412,420,99,96,113,False
835,102,89,21,23,84,True
836,57,238,12,50,222,True
837,236,111,60,150,101,False
838,23,58,516,498,143,True
839,157,24,89,55,19,False
840,40,96,4,154,80,True
841,58,412,29,61,254,False
842,44,17,103,51,24,True
843,11,131,201,222,516,False
844,61,54,33,267,202,True
845,102,497,432,51,86,False
846,31,59,103,498,62,True
847,41,53,4,254,29,False
848,143,29,76,103,420,True
849,9,59,69,23,96,False
850,236,107,1,31,8,True
851,7,10,80,37,498,False
852,497,420,39,51,38,False
853,57,222,53,75,157,True
854,82,57,40,115,18,True
855,119,84,105,64,37,False
856,91,83,121,201,29,True
857,412,61,202,120,150,False
858,43,19,222,16,92,True
859,498,89,24,59,127,False
860,64,82,53,10,202,True
861,30,67,58,412,29,False
862,59,157,236,84,25,False
863,117,516,67,64,1,True
864,412,67,59,131,27,True
865,105,157,16,81,62,False
